                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.58178,                0.96869,                0.28098,                0.86565,                0.93787,                0.93794,                0.95247,                0.70703,                0.92405,                0.91695,                0.94248,                0.66282,                0.85489,                 1.4317,                0.38383,                0.99167,               0.002575,               0.002575,               0.002575
                     77,                0.57611,                0.96281,                0.27885,                0.86406,                0.93843,                0.94952,                0.95559,                0.70662,                0.91357,                0.92451,                0.93958,                0.66198,                0.85549,                 1.4919,                0.39706,                0.99693,               0.002476,               0.002476,               0.002476
                     78,                0.57122,                0.95374,                0.27981,                0.86527,                0.95068,                0.93475,                0.95678,                0.71222,                0.92739,                0.90651,                0.93792,                0.66335,                0.85173,                 1.4725,                0.39666,                 0.9854,               0.002377,               0.002377,               0.002377
                     79,                0.57146,                0.94906,                0.27896,                0.86459,                0.93425,                0.93904,                0.96121,                0.71446,                0.94658,                0.90496,                0.94561,                0.66024,                0.83738,                 1.4859,                0.38226,                0.97671,               0.002278,               0.002278,               0.002278
                     80,                0.56828,                0.95197,                0.27599,                0.86241,                 0.9373,                0.94888,                0.96377,                 0.7198,                0.94116,                0.92468,                0.95414,                0.67216,                0.84916,                 1.4515,                0.38254,                0.99167,               0.002179,               0.002179,               0.002179
                     81,                0.56282,                0.94344,                 0.2724,                0.86233,                0.93148,                0.94206,                0.95411,                0.71197,                0.91411,                0.92178,                0.94087,                0.65456,                0.84883,                 1.4661,                0.38784,                0.98544,                0.00208,                0.00208,                0.00208
                     82,                 0.5599,                0.92904,                0.26915,                 0.8598,                0.94625,                0.92846,                0.96206,                0.71422,                0.93194,                0.91496,                0.95087,                0.66929,                0.85278,                 1.4636,                0.39526,                0.98945,               0.001981,               0.001981,               0.001981
                     83,                0.55247,                 0.9202,                0.26847,                0.86273,                0.95387,                 0.9412,                0.96767,                0.71468,                0.93877,                0.92419,                0.95566,                0.66707,                  0.853,                 1.4813,                0.38927,                 0.9872,               0.001882,               0.001882,               0.001882
                     84,                0.54968,                0.92145,                0.26718,                0.85769,                0.94344,                0.93496,                0.96056,                0.71474,                0.92666,                 0.9183,                0.95385,                0.66784,                0.85019,                 1.4801,                0.39275,                0.98459,               0.001783,               0.001783,               0.001783
                     85,                0.54395,                0.92313,                0.26486,                0.86138,                0.93864,                0.93289,                0.96016,                 0.7159,                0.92183,                0.91624,                0.95107,                0.66867,                0.85157,                 1.4855,                0.38318,                0.99353,               0.001684,               0.001684,               0.001684
